Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,# of Accelerators,# of Nodes,Accelerator,Availability,Host Processor Core Count,Processor,Avg. Result at System Name
5.0-0001,AMD,available,QuantaGrid D74A-7U,1,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,64,AMD EPYC 9575F,33928.1
5.0-0001,AMD,available,QuantaGrid D74A-7U,1,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99,Server,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,64,AMD EPYC 9575F,30724.51
5.0-0001,AMD,available,QuantaGrid D74A-7U,1,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,64,AMD EPYC 9575F,33928.1
5.0-0001,AMD,available,QuantaGrid D74A-7U,1,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99.9,Server,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,64,AMD EPYC 9575F,30724.51
5.0-0002,AMD,available,Quanta S7PA,1,2xAMD EPYC 9655,AMD Instinct MI325X 256GB HBM3E,8,Inference,stable-diffusion-xl,Offline,Samples/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,0,2xAMD EPYC 9655,17.0963
5.0-0002,AMD,available,Quanta S7PA,1,2xAMD EPYC 9655,AMD Instinct MI325X 256GB HBM3E,8,Inference,stable-diffusion-xl,Server,Queries/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,0,2xAMD EPYC 9655,16.1757
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,dlrm-v2-99,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,326670
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,dlrm-v2-99,Server,Queries/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,525118
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,dlrm-v2-99.9,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,325823
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,dlrm-v2-99.9,Server,Queries/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,300029
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,gptj-99,Offline,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,18113.4
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,gptj-99,Server,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,17953.9
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,gptj-99.9,Offline,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,18113.4
